time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-09T02:02:45.560Z,38.8253326,-122.80867,1.43,0.83,md,11,65,0.002224,0.01,nc,nc73650590,2021-11-09T02:04:21.080Z,"7km NW of The Geysers, CA",earthquake,0.35,0.69,0.45,2,automatic,nc,nc
2021-11-09T02:00:42.565Z,61.6839,-150.3102,0,3.4,ml,,,,0.88,ak,ak021edoel2m,2021-11-09T02:10:05.840Z,"16 km WSW of Willow, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-11-09T01:54:54.970Z,33.7805,-116.0393333,1.56,1.1,ml,23,94,0.1333,0.24,ci,ci39852503,2021-11-09T01:58:32.299Z,"17km NE of Coachella, CA",earthquake,0.39,0.61,0.115,26,automatic,ci,ci
2021-11-09T01:53:18.090Z,38.8336678,-122.8106689,2.08,1.18,md,12,50,0.01027,0.01,nc,nc73650585,2021-11-09T02:04:10.953Z,"8km W of Cobb, CA",earthquake,0.26,0.96,,1,automatic,nc,nc
2021-11-09T01:49:28.360Z,61.9596,-150.7013,70,1.4,ml,,,,0.51,ak,ak021edo3mg4,2021-11-09T02:10:00.074Z,"36 km E of Skwentna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-11-09T01:40:39.135Z,60.7238,-147.6553,13.4,1.6,ml,,,,0.55,ak,ak021edo1ptn,2021-11-09T01:45:22.559Z,"55 km WSW of Tatitlek, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-11-09T01:10:12.990Z,34.1423333,-117.4418333,7.6,1.07,ml,31,55,0.04273,0.12,ci,ci39852479,2021-11-09T01:27:46.271Z,"5km NNE of Fontana, CA",earthquake,0.22,0.43,0.142,20,reviewed,ci,ci
2021-11-09T01:08:07.197Z,61.4435,-150.659,47.7,2.4,ml,,,,0.76,ak,ak021ednusea,2021-11-09T01:26:57.040Z,"13 km SW of Susitna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-11-09T01:02:05.788Z,61.1282,-140.2359,20.8,1.5,ml,,,,0.84,ak,ak021ednti1u,2021-11-09T01:06:57.853Z,"147 km ESE of McCarthy, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-11-09T00:58:55.760Z,38.8266678,-122.8284988,4.5,0.36,md,7,100,0.006213,0.03,nc,nc73650575,2021-11-09T01:42:11.788Z,"8km NW of The Geysers, CA",earthquake,1.04,0.62,,1,automatic,nc,nc
2021-11-09T00:52:19.645Z,59.704,-152.2368,61.5,1.9,ml,,,,0.49,ak,ak021ednitb3,2021-11-09T00:57:06.705Z,"24 km WSW of Anchor Point, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-11-09T00:41:57.010Z,19.1678333282471,-155.466827392578,34.810001373291,2.3,ml,47,91,,0.109999999,hv,hv72788172,2021-11-09T00:57:50.040Z,"4 km SSE of Pāhala, Hawaii",earthquake,0.57,0.649999976,3.32,19,automatic,hv,hv
2021-11-09T00:41:09.570Z,36.4683342,-121.0498352,5.56,1.69,md,15,95,0.01459,0.13,nc,nc73650565,2021-11-09T01:18:12.636Z,"11km SE of Pinnacles, CA",earthquake,0.44,0.74,0.22,9,automatic,nc,nc
2021-11-09T00:38:27.390Z,38.8165016,-122.8236694,3.11,0.85,md,14,72,0.008753,0.02,nc,nc73650560,2021-11-09T01:07:12.574Z,"7km NW of The Geysers, CA",earthquake,0.34,0.77,,1,automatic,nc,nc
2021-11-09T00:33:58.393Z,57.2153,-155.3038,32.9,1.9,ml,,,,0.35,ak,ak021ednetq1,2021-11-09T00:42:45.091Z,"64 km SW of Karluk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-11-09T00:30:30.590Z,36.4656667,-117.9513333,8.45,2.18,ml,28,72,0.107,0.19,ci,ci39852471,2021-11-09T00:42:13.480Z,"17km SE of Lone Pine, CA",earthquake,0.24,0.6,0.189,26,reviewed,ci,ci
2021-11-09T00:25:22.870Z,19.1716666666667,-155.472333333333,31.72,3.23,ml,54,79,,0.12,hv,hv72788152,2021-11-09T02:06:02.167Z,"3 km S of Pāhala, Hawaii",earthquake,0.42,0.54,0.194040052725444,39,reviewed,hv,hv
2021-11-09T00:21:09.510Z,33.7,-116.7176667,16.56,0.84,ml,28,96,0.01151,0.09,ci,ci39852455,2021-11-09T00:34:40.586Z,"4km S of Idyllwild, CA",earthquake,0.19,0.28,0.182,21,reviewed,ci,ci
2021-11-09T00:06:09.980Z,38.7566681,-122.7041702,0.81,0.89,md,7,127,0.01211,0.04,nc,nc73650540,2021-11-09T00:07:45.679Z,"2km SSW of Anderson Springs, CA",earthquake,0.35,0.54,0.33,4,automatic,nc,nc
