id,title,typeSort,typeTrue1,link,description1,dateTrue1,dateSort,date,primaryImage,filename1,Movement,Movement2,Movement3
edanmdm-nmaahc_2018.52,"Token with ""Am I Not a Woman and Sister""",other,Tokens,https://nmaahc.si.edu/object/nmaahc_2018.52,"This circular copper abolitionist token depicts a kneeling female figure in chains with uplifted arms on the front. The figure is surrounded by the words “AM I NOT A WOMAN & A SISTER *1838*."" On the reverse the words “UNITED STATES OF AMERICA” surround an olive wreath enclosing the words “LIBERTY/1838.” The letter ""N"" in ""UNITED"" is backwards.",1838,1838,1830,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2018_52_001&max=300,NMAAHC-2018_52_001.jpg,,,
edanmdm-nmaahc_2020.26.39,"Civil Rights! Miscegenation Allowed by Congress, Despite the Veto of the President",other,Illustrated Card,https://nmaahc.si.edu/object/nmaahc_2020.26.39,"A satirical illustrated card about the Civil Rights Act of 1866, titled ""Civil Rights! Miscegenation Allowed by Congress, Despite the Veto of the President"".",1866,1866,1860,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2020_26_39_001&max=300,NMAAHC-2020_26_39_001.jpg,,,
edanmdm-nmaahc_2011.155.14,The Proposed Amendment to the Constitution,other,Advertisements,https://nmaahc.si.edu/object/nmaahc_2011.155.14,"A two sided political advertisement regarding a proposed amendment to the Ohio state constitution printed in black ink on yellow card stock. The front of the card has the title at the top in large print [THE / PROPOSED AMENDMENT / TO THE CONSTITUTION] followed by an image of an eagle, which is smudged. The body of the card has text about the proposed amendment. In a separate section in the bottom quarter, the text reads [THE BLACK MAN payes taxes equally with the White Man. Stoody the draft equally with the White Man. Volunteered into the army equally with the White Man. And fought for his Country and Flag equally and as honestly as the White Man. And all he asks is to vote for the salvation of his country equally with the White Man.]. The reverse side has four paragraphs of additional text. The last paragraph has a small pointing hand icon and reads [Vote for the Constitutional Amendment - YES. Vote for the Loyal Black against the deserter of his Country's Flag.]. Beneath the text is a signature in blue ink: [Elmer J. Musser].",1867,1867,2010,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2011_155_14_001&max=300,NMAAHC-2011_155_14_001.jpg,,,
edanmdm-nmaahc_2008.9.29,Radical Members of the South Carolina Legislature,other,Photographs,https://nmaahc.si.edu/object/nmaahc_2008.9.29,"A composite photograph of the allegedly radical members of the South Carolina legislature. The photo is titled beneath the image, and print appears at bottom. There is also text printed on the back listing the last names of the sitters along with the designation ""white"" or ""colored.""",1868,1868,1860,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2008_9_29&max=300,NMAAHC-2008_9_29.jpg,,,
edanmdm-nmaahc_2013.168.1,Pinback button featuring a campaign portrait of Senator William B. Nash,buttons,Portraits,https://nmaahc.si.edu/object/nmaahc_2013.168.1,A metal pin back button featuring a photographic image of Sen. W.B. Nash. The pin is oval and made of metal with a slight tarnish. The front features a beaded design around the edge of the picture and the back is slightly indented with a horizontal pin across the middle. The photo is placed loosely in the frame and features a bust shot of Nash wearing a suit jacket and tie. He has a beard and mustache.,ca. 1868,1868,1860,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2013_168_1_001&max=300,NMAAHC-2013_168_1_001.jpg,,,
edanmdm-nmaahc_2016.149.1,Missouri Democratic Ticket for the United States Presidential Election of 1868,other,Ballots,https://nmaahc.si.edu/object/nmaahc_2016.149.1,"A Missouri Democratic ticket for the United States presidential election of 1868. The ticket is printed on white paper in black ink with varying fonts. The top third of the ticket reads, [DEMOCRATIC TICKET. / In Favor of a White Man’s Government / Opposed to Negro Suffrage and Negro Equality / FOR PRESIDENT, / HORATIO SEYMOUR. / FOR VICE PRESIDENT, / FRANK P. BLAIR, JR.]. Below are the democratic nominees for presidential electors. The middle third of the ticket, is the state ticket, and includes the Democratic nominee for Governor, John S. Phelps, as well as the nominees for Lieutenant Governor, Secretary of State, Attorney General, Treasurer, Register of Lands, and the Supreme Court of Missouri. Below is the name Charles B. McAfee, a nominee for congress, as well as Judge Circuit Court, Prosecuting Attorney, and State Senator. On the bottom third of the ticket are the Democratic nominees for the county ticket. An inscription in pencil on the back in the top left corner reads, [1822 / Grant].",1868,1868,2010,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2016_149_1_001&max=300,NMAAHC-2016_149_1_001.jpg,Pan Africanism,,
edanmdm-nmaahc_2011.57.9,Poster for the NAACP anti-lynching campaign,posters,Posters,https://nmaahc.si.edu/object/nmaahc_2011.57.9,"An anti-lynching poster distributed by the NAACP. The poster consists of black text on brown paper. The title at the top reads [FOR THE GOOD OF AMERICA"" and the text continues with headings in large text including [3436 People Lynched, 1889 to 1922] and [Is Rape the ""Cause"" of Lynching?]. There are no inscriptions, front or back.",1922,1922,1920,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2011_57_9_001&max=300,NMAAHC-2011_57_9_001.jpg,Anti-Lynching Movement,,
edanmdm-nmaahc_2010.55.32,Imperialism Destroys the People of Africa,pamphlets,Pamphlets,https://nmaahc.si.edu/object/nmaahc_2010.55.32,"A pamphlet written by James W. Ford on imperialism in Africa. The cover features black print on yellowed paper. At center, a black and white photograph of James W. Ford. The interior consists of fifteen pages of text. The back cover features other pamphlet in the ""Series on Negro Problems.""",ca. 1931,1931,1920,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2010_55_32_001&max=300,NMAAHC-2010_55_32_001.jpg,Pan Africanism,,
edanmdm-nmaahc_2012.46.35,Pinback button for the Scottsboro United Front Defense,buttons,Buttons (information artifacts),https://nmaahc.si.edu/object/nmaahc_2012.46.35,"Small circular pinback button with black text on an off-white background. At the center of the button is the message ""I Gave to Save the Scottsboro Boys"" with the union label of the Allied Printing Trades Council fo Baltimore. The folowing text surrounds the outer rim of the button: ""Negro & White Workers Unite!""/""Scottsboro United Front Defense"".",1931-1932,1931,1930,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2012_46_35_001&max=300,NMAAHC-2012_46_35_001.jpg,Anti-Lynching Movement,,
edanmdm-nmaahc_2012.86,Pinback button supporting the Scottsboro Boys,buttons,Buttons (information artifacts),https://nmaahc.si.edu/object/nmaahc_2012.86,A circular pin-back button with red typeface and a graphic of two arms (representing the International Labor Defense) bending open prison bars with nine men's busts below. Red type at the top reads: [SAVE / THE / SCOTTSBORO / BOYS]. The back of the pin has a paper backing with handwriting and print that reads: [5383 / Eagle Regalia Co / 298 Broadway / New York]. A logo of the maker is below the type.,1931,1931,1930,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2B97AEBC39EE2_5001&max=300,NMAAHC-2B97AEBC39EE2_5001.jpg,Anti-Lynching Movement,,
